id,name,sex
,John,boy
,William,boy
,James,boy
,Charles,boy
,George,boy
,Frank,boy
,Joseph,boy
,Thomas,boy
,Henry,boy
,Robert,boy
,Edward,boy
,Harry,boy
,Walter,boy
,Arthur,boy
,Fred,boy
,Albert,boy
,Samuel,boy
,David,boy
,Louis,boy
,Joe,boy
,Charlie,boy
,Clarence,boy
,Richard,boy
,Andrew,boy
,Daniel,boy
,Ernest,boy
,Will,boy
,Jesse,boy
,Oscar,boy
,Lewis,boy
,Peter,boy
,Benjamin,boy
,Frederick,boy
,Willie,boy
,Alfred,boy
,Sam,boy
,Roy,boy
,Herbert,boy
,Jacob,boy
,Tom,boy
,Elmer,boy
,Carl,boy
,Lee,boy
,Howard,boy
,Martin,boy
,Michael,boy
,Bert,boy
,Herman,boy
,Jim,boy
,Francis,boy
,Harvey,boy
,Earl,boy
,Eugene,boy
,Ralph,boy
,Ed,boy
,Claude,boy
,Edwin,boy
,Ben,boy
,Charley,boy
,Paul,boy
,Edgar,boy
,Isaac,boy
,Otto,boy
,Luther,boy
,Lawrence,boy
,Ira,boy
,Patrick,boy
,Guy,boy
,Oliver,boy
,Theodore,boy
,Hugh,boy
,Clyde,boy
,Alexander,boy
,August,boy
,Floyd,boy
,Homer,boy
,Jack,boy
,Leonard,boy
,Horace,boy
,Marion,boy
,Philip,boy
,Allen,boy
,Archie,boy
,Stephen,boy
,Chester,boy
,Willis,boy
,Raymond,boy
,Rufus,boy
,Warren,boy
,Jessie,boy
,Milton,boy
,Alex,boy
,Leo,boy
,Julius,boy
,Ray,boy
,Sidney,boy
,Bernard,boy
,Dan,boy
,Jerry,boy
,Calvin,boy
,Perry,boy
,Dave,boy
,Anthony,boy
,Eddie,boy
,Amos,boy
,Dennis,boy
,Clifford,boy
,Leroy,boy
,Wesley,boy
,Alonzo,boy
,Garfield,boy
,Franklin,boy
,Emil,boy
,Leon,boy
,Nathan,boy
,Harold,boy
,Matthew,boy
,Levi,boy
,Moses,boy
,Everett,boy
,Lester,boy
,Winfield,boy
,Adam,boy
,Lloyd,boy
,Mack,boy
,Fredrick,boy
,Jay,boy
,Jess,boy
,Melvin,boy
,Noah,boy
,Aaron,boy
,Alvin,boy
,Norman,boy
,Gilbert,boy
,Elijah,boy
,Victor,boy
,Gus,boy
,Nelson,boy
,Jasper,boy
,Silas,boy
,Christopher,boy
,Jake,boy
,Mike,boy
,Percy,boy
,Adolph,boy
,Maurice,boy
,Cornelius,boy
,Felix,boy
,Reuben,boy
,Wallace,boy
,Claud,boy
,Roscoe,boy
,Sylvester,boy
,Earnest,boy
,Hiram,boy
,Otis,boy
,Simon,boy
,Willard,boy
,Irvin,boy
,Mark,boy
,Jose,boy
,Wilbur,boy
,Abraham,boy
,Virgil,boy
,Clinton,boy
,Elbert,boy
,Leslie,boy
,Marshall,boy
,Owen,boy
,Wiley,boy
,Anton,boy
,Morris,boy
,Manuel,boy
,Phillip,boy
,Augustus,boy
,Emmett,boy
,Eli,boy
,Nicholas,boy
,Wilson,boy
,Alva,boy
,Harley,boy
,Newton,boy
,Timothy,boy
,Marvin,boy
,Ross,boy
,Curtis,boy
,Edmund,boy
,Jeff,boy
,Elias,boy
,Harrison,boy
,Stanley,boy
,Columbus,boy
,Lon,boy
,Ora,boy
,Ollie,boy
,Russell,boy
,Pearl,boy
,Solomon,boy
,Arch,boy
,Asa,boy
,Clayton,boy
,Enoch,boy
,Irving,boy
,Mathew,boy
,Nathaniel,boy
,Scott,boy
,Hubert,boy
,Lemuel,boy
,Andy,boy
,Ellis,boy
,Emanuel,boy
,Joshua,boy
,Millard,boy
,Vernon,boy
,Wade,boy
,Cyrus,boy
,Miles,boy
,Rudolph,boy
,Sherman,boy
,Austin,boy
,Bill,boy
,Chas,boy
,Lonnie,boy
,Monroe,boy
,Byron,boy
,Edd,boy
,Emery,boy
,Grant,boy
,Jerome,boy
,Max,boy
,Mose,boy
,Steve,boy
,Gordon,boy
,Abe,boy
,Pete,boy
,Chris,boy
,Clark,boy
,Gustave,boy
,Orville,boy
,Lorenzo,boy
,Bruce,boy
,Marcus,boy
,Preston,boy
,Bob,boy
,Dock,boy
,Donald,boy
,Jackson,boy
,Cecil,boy
,Barney,boy
,Delbert,boy
,Edmond,boy
,Anderson,boy
,Christian,boy
,Glenn,boy
,Jefferson,boy
,Luke,boy
,Neal,boy
,Burt,boy
,Ike,boy
,Myron,boy
,Tony,boy
,Conrad,boy
,Joel,boy
,Matt,boy
,Riley,boy
,Vincent,boy
,Emory,boy
,Isaiah,boy
,Nick,boy
,Ezra,boy
,Green,boy
,Juan,boy
,Clifton,boy
,Lucius,boy
,Porter,boy
,Arnold,boy
,Bud,boy
,Jeremiah,boy
,Taylor,boy
,Forrest,boy
,Roland,boy
,Spencer,boy
,Burton,boy
,Don,boy
,Emmet,boy
,Gustav,boy
,Louie,boy
,Morgan,boy
,Ned,boy
,Van,boy
,Ambrose,boy
,Chauncey,boy
,Elisha,boy
,Ferdinand,boy
,General,boy
,Julian,boy
,Kenneth,boy
,Mitchell,boy
,Allie,boy
,Josh,boy
,Judson,boy
,Lyman,boy
,Napoleon,boy
,Pedro,boy
,Berry,boy
,Dewitt,boy
,Ervin,boy
,Forest,boy
,Lynn,boy
,Pink,boy
,Ruben,boy
,Sanford,boy
,Ward,boy
,Douglas,boy
,Ole,boy
,Omer,boy
,Ulysses,boy
,Walker,boy
,Wilbert,boy
,Adelbert,boy
,Benjiman,boy
,Ivan,boy
,Jonas,boy
,Major,boy
,Abner,boy
,Archibald,boy
,Caleb,boy
,Clint,boy
,Dudley,boy
,Granville,boy
,King,boy
,Mary,boy
,Merton,boy
,Antonio,boy
,Bennie,boy
,Carroll,boy
,Freeman,boy
,Josiah,boy
,Milo,boy
,Royal,boy
,Dick,boy
,Earle,boy
,Elza,boy
,Emerson,boy
,Fletcher,boy
,Judge,boy
,Laurence,boy
,Neil,boy
,Roger,boy
,Seth,boy
,Glen,boy
,Hugo,boy
,Jimmie,boy
,Johnnie,boy
,Washington,boy
,Elwood,boy
,Gust,boy
,Harmon,boy
,Jordan,boy
,Simeon,boy
,Wayne,boy
,Wilber,boy
,Clem,boy
,Evan,boy
,Frederic,boy
,Irwin,boy
,Junius,boy
,Lafayette,boy
,Loren,boy
,Madison,boy
,Mason,boy
,Orval,boy
,Abram,boy
,Aubrey,boy
,Elliott,boy
,Hans,boy
,Karl,boy
,Minor,boy
,Wash,boy
,Wilfred,boy
,Allan,boy
,Alphonse,boy
,Dallas,boy
,Dee,boy
,Isiah,boy
,Jason,boy
,Johnny,boy
,Lawson,boy
,Lew,boy
,Micheal,boy
,Orin,boy
,Addison,boy
,Cal,boy
,Erastus,boy
,Francisco,boy
,Hardy,boy
,Lucien,boy
,Randolph,boy
,Stewart,boy
,Vern,boy
,Wilmer,boy
,Zack,boy
,Adrian,boy
,Alvah,boy
,Bertram,boy
,Clay,boy
,Ephraim,boy
,Fritz,boy
,Giles,boy
,Grover,boy
,Harris,boy
,Isom,boy
,Jesus,boy
,Johnie,boy
,Jonathan,boy
,Lucian,boy
,Malcolm,boy
,Merritt,boy
,Otho,boy
,Perley,boy
,Rolla,boy
,Sandy,boy
,Tomas,boy
,Wilford,boy
,Adolphus,boy
,Angus,boy
,Arther,boy
,Carlos,boy
,Cary,boy
,Cassius,boy
,Davis,boy
,Hamilton,boy
,Harve,boy
,Israel,boy
,Leander,boy
,Melville,boy
,Merle,boy
,Murray,boy
,Pleasant,boy
,Sterling,boy
,Steven,boy
,Axel,boy
,Boyd,boy
,Bryant,boy
,Clement,boy
,Erwin,boy
,Ezekiel,boy
,Foster,boy
,Frances,boy
,Geo,boy
,Houston,boy
,Issac,boy
,Jules,boy
,Larkin,boy
,Mat,boy
,Morton,boy
,Orlando,boy
,Pierce,boy
,Prince,boy
,Rollie,boy
,Rollin,boy
,Sim,boy
,Stuart,boy
,Wilburn,boy
,Bennett,boy
,Casper,boy
,Christ,boy
,Dell,boy
,Egbert,boy
,Elmo,boy
,Fay,boy
,Gabriel,boy
,Hector,boy
,Horatio,boy
,Lige,boy
,Saul,boy
,Smith,boy
,Squire,boy
,Tobe,boy
,Tommie,boy
,Wyatt,boy
,Alford,boy
,Alma,boy
,Alton,boy
,Andres,boy
,Burl,boy
,Cicero,boy
,Dean,boy
,Dorsey,boy
,Enos,boy
,Howell,boy
,Lou,boy
,Loyd,boy
,Mahlon,boy
,Nat,boy
,Omar,boy
,Oran,boy
,Parker,boy
,Raleigh,boy
,Reginald,boy
,Rubin,boy
,Seymour,boy
,Wm,boy
,Young,boy
,Benjamine,boy
,Carey,boy
,Carlton,boy
,Eldridge,boy
,Elzie,boy
,Garrett,boy
,Isham,boy
,Johnson,boy
,Larry,boy
,Logan,boy
