Usuarios 1 e 2, Tipo: Cosseno, Taxa de Similaridade: 0.4026060938931021
Usuarios 1 e 3, Tipo: Cosseno, Taxa de Similaridade: 0.3957965316814692
Usuarios 1 e 4, Tipo: Cosseno, Taxa de Similaridade: 0.5660404742814295
Usuarios 1 e 5, Tipo: Cosseno, Taxa de Similaridade: 0.2882402711143949
Usuarios 1 e 6, Tipo: Cosseno, Taxa de Similaridade: 0.13790119231543674
Usuarios 1 e 7, Tipo: Cosseno, Taxa de Similaridade: 0.09807518420713272
Usuarios 1 e 8, Tipo: Cosseno, Taxa de Similaridade: 0.23034406944729002
Usuarios 1 e 9, Tipo: Cosseno, Taxa de Similaridade: 0.18738231582819204
Usuarios 1 e 10, Tipo: Cosseno, Taxa de Similaridade: 0.5836221953541061
Usuarios 1 e 11, Tipo: Cosseno, Taxa de Similaridade: 0.49184802344145684
Usuarios 1 e 12, Tipo: Cosseno, Taxa de Similaridade: 0.06677625662244793
Usuarios 1 e 13, Tipo: Cosseno, Taxa de Similaridade: 0.6427081660580852
Usuarios 1 e 14, Tipo: Cosseno, Taxa de Similaridade: 0.5774360661089627
Usuarios 1 e 15, Tipo: Cosseno, Taxa de Similaridade: 0.755537939884245
Usuarios 1 e 16, Tipo: Cosseno, Taxa de Similaridade: 0.49609686805146497
Usuarios 1 e 17, Tipo: Cosseno, Taxa de Similaridade: 0.3485734672427422
Usuarios 1 e 18, Tipo: Cosseno, Taxa de Similaridade: 0.512957324695183
Usuarios 1 e 19, Tipo: Cosseno, Taxa de Similaridade: 0.07476604354238144
Usuarios 1 e 20, Tipo: Cosseno, Taxa de Similaridade: 0.31082103732268956
Usuarios 1 e 21, Tipo: Cosseno, Taxa de Similaridade: 0.3183028987989861
Usuarios 1 e 22, Tipo: Cosseno, Taxa de Similaridade: 0.09563289800490922
Usuarios 1 e 23, Tipo: Cosseno, Taxa de Similaridade: 0.21070025021774247
Usuarios 1 e 24, Tipo: Cosseno, Taxa de Similaridade: 0.27145852557955824
Usuarios 1 e 25, Tipo: Cosseno, Taxa de Similaridade: 0.4898813289107836
Usuarios 1 e 26, Tipo: Cosseno, Taxa de Similaridade: 0.2245923363864431
Usuarios 1 e 27, Tipo: Cosseno, Taxa de Similaridade: 0.8051069835037373
Usuarios 1 e 28, Tipo: Cosseno, Taxa de Similaridade: 0.4594605986050337
Usuarios 1 e 29, Tipo: Cosseno, Taxa de Similaridade: 0.34387094577745575
Usuarios 1 e 30, Tipo: Cosseno, Taxa de Similaridade: 0.4313121838334446
Usuarios 1 e 31, Tipo: Cosseno, Taxa de Similaridade: 0.18778922981745194
Usuarios 1 e 32, Tipo: Cosseno, Taxa de Similaridade: 0.31882835511052643
Usuarios 1 e 33, Tipo: Cosseno, Taxa de Similaridade: 0.18831301974723572
Usuarios 1 e 34, Tipo: Cosseno, Taxa de Similaridade: 0.4208644065676594
Usuarios 1 e 35, Tipo: Cosseno, Taxa de Similaridade: 0.33304215079951377
