id,name,sex,show1,show2,show3,show4,show5,show6,show7,show8,show9,show10
1,John,boy,,,,,,,,,,
2,William,boy,,,,,,,,,,
3,James,boy,,,,,,,,,,
4,Charles,boy,,,,,,,,,,
5,George,boy,,,,,,,,,,
6,Frank,boy,,,,,,,,,,
7,Joseph,boy,,,,,,,,,,
8,Thomas,boy,,,,,,,,,,
9,Henry,boy,,,,,,,,,,
10,Robert,boy,,,,,,,,,,
11,Edward,boy,,,,,,,,,,
12,Harry,boy,,,,,,,,,,
13,Walter,boy,,,,,,,,,,
14,Arthur,boy,,,,,,,,,,
15,Fred,boy,,,,,,,,,,
16,Albert,boy,,,,,,,,,,
17,Samuel,boy,,,,,,,,,,
18,David,boy,,,,,,,,,,
19,Louis,boy,,,,,,,,,,
20,Joe,boy,,,,,,,,,,
21,Charlie,boy,,,,,,,,,,
22,Clarence,boy,,,,,,,,,,
23,Richard,boy,,,,,,,,,,
24,Andrew,boy,,,,,,,,,,
25,Daniel,boy,,,,,,,,,,
26,Ernest,boy,,,,,,,,,,
27,Will,boy,,,,,,,,,,
28,Jesse,boy,,,,,,,,,,
29,Oscar,boy,,,,,,,,,,
30,Lewis,boy,,,,,,,,,,
31,Peter,boy,,,,,,,,,,
32,Benjamin,boy,,,,,,,,,,
33,Frederick,boy,,,,,,,,,,
34,Willie,boy,,,,,,,,,,
35,Alfred,boy,,,,,,,,,,
36,Sam,boy,,,,,,,,,,
37,Roy,boy,,,,,,,,,,
38,Herbert,boy,,,,,,,,,,
39,Jacob,boy,,,,,,,,,,
40,Tom,boy,,,,,,,,,,
41,Elmer,boy,,,,,,,,,,
42,Carl,boy,,,,,,,,,,
43,Lee,boy,,,,,,,,,,
44,Howard,boy,,,,,,,,,,
45,Martin,boy,,,,,,,,,,
46,Michael,boy,,,,,,,,,,
47,Bert,boy,,,,,,,,,,
48,Herman,boy,,,,,,,,,,
49,Jim,boy,,,,,,,,,,
50,Francis,boy,,,,,,,,,,
51,Harvey,boy,,,,,,,,,,
52,Earl,boy,,,,,,,,,,
53,Eugene,boy,,,,,,,,,,
54,Ralph,boy,,,,,,,,,,
55,Ed,boy,,,,,,,,,,
56,Claude,boy,,,,,,,,,,
57,Edwin,boy,,,,,,,,,,
58,Ben,boy,,,,,,,,,,
59,Charley,boy,,,,,,,,,,
60,Paul,boy,,,,,,,,,,
61,Edgar,boy,,,,,,,,,,
62,Isaac,boy,,,,,,,,,,
63,Otto,boy,,,,,,,,,,
64,Luther,boy,,,,,,,,,,
65,Lawrence,boy,,,,,,,,,,
66,Ira,boy,,,,,,,,,,
67,Patrick,boy,,,,,,,,,,
68,Guy,boy,,,,,,,,,,
69,Oliver,boy,,,,,,,,,,
70,Theodore,boy,,,,,,,,,,
71,Hugh,boy,,,,,,,,,,
72,Clyde,boy,,,,,,,,,,
73,Alexander,boy,,,,,,,,,,
74,August,boy,,,,,,,,,,
