id,name,show1,show2,show3,show4,show5,show6,show7,show8,show9,show10
1,John,48,52,0,36,72,0,20,99,0,0
2,William,0,0,0,0,90,0,0,0,62,0
3,James,99,0,21,0,51,12,32,0,13,100
4,Charles,32,0,0,0,0,0,23,74,74,0
5,George,81,15,47,0,0,0,91,0,0,78
6,Frank,0,0,0,72,0,0,0,0,76,73
7,Joseph,0,0,0,5,0,0,58,0,27,67
8,Thomas,0,15,59,0,35,68,8,0,0,28
9,Henry,0,13,0,64,0,86,0,0,0,0
10,Robert,16,75,0,31,0,82,26,77,0,78
11,Edward,28,0,20,0,16,0,0,56,0,88
12,Harry,0,0,89,0,14,47,0,0,6,12
13,Walter,0,86,0,0,13,53,0,73,0,46
14,Arthur,69,0,0,0,0,31,65,50,14,0
15,Fred,44,76,0,0,88,0,0,22,0,35
16,Albert,0,0,0,75,0,0,1,33,0,0
17,Samuel,59,36,99,79,0,0,0,0,20,20
18,David,0,9,22,97,75,0,4,0,0,0
19,Louis,0,15,78,0,8,0,0,0,12,93
20,Joe,48,13,89,44,25,83,30,0,0,49
21,Charlie,100,0,0,16,0,3,53,0,76,0
22,Clarence,33,0,0,0,0,74,0,0,0,78
23,Richard,0,0,74,0,0,0,85,19,16,0
24,Andrew,0,0,58,15,0,0,100,23,20,0
25,Daniel,0,45,67,0,24,0,86,51,0,74
26,Ernest,0,0,0,98,0,3,0,0,0,42
27,Will,0,4,0,43,45,0,43,52,13,1
28,Jesse,98,0,0,63,30,0,97,21,83,81
29,Oscar,80,0,0,9,4,0,97,0,5,0
30,Lewis,0,68,0,88,0,0,70,9,0,52
31,Peter,0,0,30,64,0,2,54,0,84,0
32,Benjamin,7,0,0,13,17,0,69,0,0,0
33,Frederick,69,0,0,0,0,19,0,0,58,76
34,Willie,72,43,0,0,0,0,53,0,45,0
35,Alfred,0,99,37,1,0,0,0,0,0,0
36,Sam,0,72,0,0,80,0,0,0,0,25
37,Roy,0,83,0,72,0,60,0,76,0,56
38,Herbert,0,0,0,62,83,0,0,57,47,0
39,Jacob,0,32,72,9,31,34,0,29,0,0
40,Tom,54,0,48,87,54,0,89,49,78,68
41,Elmer,21,0,0,0,63,94,0,61,1,96
42,Carl,66,0,38,5,0,20,0,99,0,58
43,Lee,0,0,81,0,0,81,85,0,0,0
44,Howard,0,17,22,0,0,0,0,36,13,40
45,Martin,48,0,0,0,72,0,68,2,50,66
46,Michael,58,0,0,13,24,22,0,0,20,0
47,Bert,23,51,0,92,91,91,39,0,0,13
48,Herman,0,0,0,0,0,18,0,76,0,0
49,Jim,0,25,0,44,38,3,51,92,0,57
50,Francis,0,30,72,0,0,90,91,0,5,81
51,Harvey,44,29,58,0,0,23,0,52,13,0
52,Earl,0,0,38,41,0,0,31,37,45,0
53,Eugene,0,53,0,0,0,39,0,37,0,0
54,Ralph,0,0,46,84,0,93,45,30,0,0
55,Ed,0,50,13,14,0,0,72,0,0,40
56,Claude,0,73,2,77,0,98,0,11,0,0
